Protein Description,Probability Score,PSMs,Unique Peptides,"TMT-130 Intensity0 min","TMT-126 Intensity30 min","TMT-127 Intensity60 min","TMT-128 Intensity90 min","TMT-129 Intensity120 min","TMT-131 Intensity240 min",Quantified PSMs,Quantified Unique Peptides
"YMR012W CLU1 SGDID:S000004614, Chr XIII from 291133-294966, Verified ORF, ""eIF3 component of unknown function; deletion causes defects in mitochondrial organization but not in growth or translation initiation, can rescue cytokinesis and mitochondrial organization defects of the Dictyostelium cluA- mutant""",0,104,35,19657224.14,19574780.28,20459362.72,20949440.78,20961347.37,20532098.72,25,15
"YKL182W FAS1 SGDID:S000001665, Chr XI from 100676-106831, Verified ORF, ""Beta subunit of fatty acid synthetase, which catalyzes the synthesis of long-chain saturated fatty acids; contains acetyltransacylase, dehydratase, enoyl reductase, malonyl transacylase, and palmitoyl transacylase activities""",0,364,70,128577017.8,121198760.3,113909174.3,117328180.4,118791980.3,111342879.3,148,51
"YGR124W ASN2 SGDID:S000003356, Chr VII from 739949-741667, Verified ORF, ""Asparagine synthetase, isozyme of Asn1p; catalyzes the synthesis of L-asparagine from L-aspartate in the asparagine biosynthetic pathway""",0,230,29,19296242.38,19934691.17,20004278.39,19726915.26,19458397.31,20179611.27,70,20
"YER025W GCD11 SGDID:S000000827, Chr V from 205250-206833, Verified ORF, ""Gamma subunit of the translation initiation factor eIF2, involved in the identification of the start codon; binds GTP when forming the ternary complex with GTP and tRNAi-Met""",0,97,26,20293387.46,19769735.72,20805617.28,20340458,20921347.21,20480525.16,43,16
"YOR335C ALA1 SGDID:S000005862, Chr XV from 949106-946230, reverse complement, Verified ORF, ""Cytoplasmic and mitochondrial alanyl-tRNA synthetase, required for protein synthesis; point mutation (cdc64-1 allele) causes cell cycle arrest at G1; lethality of null mutation is functionally complemented by human homolog""",0,199,42,77764317.8,79724810.62,78751853.1,79286917.08,79522294.88,80403415.09,90,30
"YKL060C FBA1 SGDID:S000001543, Chr XI from 327131-326052, reverse complement, Verified ORF, ""Fructose 1,6-bisphosphate aldolase, required for glycolysis and gluconeogenesis; catalyzes conversion of fructose 1,6 bisphosphate to glyceraldehyde-3-P and dihydroxyacetone-P; locates to mitochondrial outer surface upon oxidative stress""",0,2976,25,494960301.4,488757718.5,434173394.2,399801200.1,383123569.2,410837965.5,1479,32
"YOR063W RPL3 SGDID:S000005589, Chr XV from 444688-445851, Verified ORF, ""Protein component of the large (60S) ribosomal subunit, has similarity to E. coli L3 and rat L3 ribosomal proteins; involved in the replication and maintenance of killer double stranded RNA virus""",0,877,31,217466220.8,198595814.8,178352921.9,161687819.6,155845088.8,168837471.9,298,30
"YER043C SAH1 SGDID:S000000845, Chr V from 237118-235769, reverse complement, Verified ORF, ""S-adenosyl-L-homocysteine hydrolase, catabolizes S-adenosyl-L-homocysteine which is formed after donation of the activated methyl group of S-adenosyl-L-methionine (AdoMet) to an acceptor""",0,247,31,128430650.9,130016090.2,126828039.9,132615412.5,136556167.8,134061684.7,116,27
"YMR217W GUA1 SGDID:S000004830, Chr XIII from 701789-703366, Verified ORF, ""GMP synthase, an enzyme that catalyzes the second step in the biosynthesis of GMP from inosine 5'-phosphate (IMP); transcription is not subject to regulation by guanine but is negatively regulated by nutrient starvation""",0,221,28,50890724.66,48113344.51,45253540.26,45398031.68,44387713.55,43897475.31,106,25
"YHR174W ENO2 SGDID:S000001217, Chr VIII from 451327-452640, Verified ORF, ""Enolase II, a phosphopyruvate hydratase that catalyzes the conversion of 2-phosphoglycerate to phosphoenolpyruvate during glycolysis and the reverse reaction during gluconeogenesis; expression is induced in response to glucose""",0,4915,47,725568380.2,733583987.2,576564942.7,515630890.4,467155340.1,475695312.4,1268,33
"YPR080W TEF1 SGDID:S000006284, Chr XVI from 700592-701968, Verified ORF, ""Translational elongation factor EF-1 alpha; also encoded by TEF2; functions in the binding reaction of aminoacyl-tRNA (AA-tRNA) to ribosomes""",0,3189,37,646040089.5,599068608.9,531452681.7,502083051.5,487908621.5,529278510.1,1901,45
"YDR502C SAM2 SGDID:S000002910, Chr IV from 1454457-1453303, reverse complement, Verified ORF, ""S-adenosylmethionine synthetase, catalyzes transfer of the adenosyl group of ATP to the sulfur atom of methionine; one of two differentially regulated isozymes (Sam1p and Sam2p)""",0,119,25,7601144.854,7872463.111,7557422.372,7052725.115,7327536.048,6750410.443,20,8
"YGR155W CYS4 SGDID:S000003387, Chr VII from 798548-800071, Verified ORF, ""Cystathionine beta-synthase, catalyzes the synthesis of cystathionine from serine and homocysteine, the first committed step in cysteine biosynthesis; mutations in the human ortholog cause homocystinuria""",0,237,39,94893742,98367879.21,96725429.19,98650669.02,100778188.4,102616322.2,105,31
"YIL078W THS1 SGDID:S000001340, Chr IX from 212496-214700, Verified ORF, ""Threonyl-tRNA synthetase, essential cytoplasmic protein""",0,113,28,60631009.76,62019226.73,60727492.97,61824849.12,62842320.52,65473814.43,52,21
"YFR053C HXK1 SGDID:S000001949, Chr VI from 255036-253579, reverse complement, Verified ORF, ""Hexokinase isoenzyme 1, a cytosolic protein that catalyzes phosphorylation of glucose during glucose metabolism; expression is highest during growth on non-glucose carbon sources; glucose-induced repression involves the hexokinase Hxk2p""",0,255,26,11112240.96,14275708.7,26307148.59,34119667.98,38664240.65,41736997.64,95,26
"YGR240C PFK1 SGDID:S000003472, Chr VII from 973739-970776, reverse complement, Verified ORF, ""Alpha subunit of heterooctameric phosphofructokinase involved in glycolysis, indispensable for anaerobic growth, activated by fructose-2,6-bisphosphate and AMP, mutation inhibits glucose induction of cell cycle-related genes""",0,302,44,123482934.3,117044352.5,117088445.1,126324698.1,129367943.9,123217969.5,144,38
"YHR064C SSZ1 SGDID:S000001106, Chr VIII from 227143-225527, reverse complement, Verified ORF, ""Hsp70 protein that interacts with Zuo1p (a DnaJ homolog) to form a ribosome-associated complex that binds the ribosome via the Zuo1p subunit; also involved in pleiotropic drug resistance via sequential activation of PDR1 and PDR5; binds ATP""",0,326,25,67877692.65,63654015.83,62425019.94,62902088.39,63423631.88,61757319.34,122,20
"YEL071W DLD3 SGDID:S000000797, Chr V from 16355-17845, Verified ORF, ""D-lactate dehydrogenase, part of the retrograde regulon which consists of genes whose expression is stimulated by damage to mitochondria and reduced in cells grown with glutamate as the sole nitrogen source, located in the cytoplasm""",0,97,27,31838397.26,30869854.36,30213234.49,29435959.44,30272987.8,30929175.3,41,14
"YLL026W HSP104 SGDID:S000003949, Chr XII from 88622-91348, Verified ORF, ""Heat shock protein that cooperates with Ydj1p (Hsp40) and Ssa1p (Hsp70) to refold and reactivate previously denatured, aggregated proteins; responsive to stresses including: heat, ethanol, and sodium arsenite; involved in [PSI+] propagation""",0,172,40,42725285.26,53384342.98,68070285.79,69359591.19,67818726.65,63391854.46,81,31
"YGL234W ADE5,7 SGDID:S000003203, Chr VII from 56482-58890, Verified ORF, ""Bifunctional enzyme of the 'de novo' purine nucleotide biosynthetic pathway, contains aminoimidazole ribotide synthetase and glycinamide ribotide synthetase activities""",0,98,27,18597974.31,16428580.14,16251046.07,17577180.29,17366364.82,16225687.4,38,15
"YKL081W TEF4 SGDID:S000001564, Chr XI from 282535-282739,283066-284099, Verified ORF, ""Translation elongation factor EF-1 gamma""",0,429,26,89105008.81,86922599.41,82511883.37,84446751.45,83237517.18,83831808.36,142,17
"YMR120C ADE17 SGDID:S000004727, Chr XIII from 509279-507501, reverse complement, Verified ORF, ""Enzyme of 'de novo' purine biosynthesis containing both 5-aminoimidazole-4-carboxamide ribonucleotide transformylase and inosine monophosphate cyclohydrolase activities, isozyme of Ade16p; ade16 ade17 mutants require adenine and histidine""",0,120,27,9927166.025,10676873.33,11393184.24,10717693.52,10200390.28,9774546.17,23,12
"YDL182W LYS20 SGDID:S000002341, Chr IV from 133438-134724, Verified ORF, ""Homocitrate synthase isozyme, catalyzes the condensation of acetyl-CoA and alpha-ketoglutarate to form homocitrate, which is the first step in the lysine biosynthesis pathway; highly similar to the other isozyme, Lys21p""",0,139,26,7192856.599,7421388.293,7334342.294,7685030.242,7444771.173,9864115.662,16,6
"YJL080C SCP160 SGDID:S000003616, Chr X from 289220-285552, reverse complement, Verified ORF, ""Essential RNA-binding G protein effector of mating response pathway, mainly associated with nuclear envelope and ER, interacts in mRNA-dependent manner with translating ribosomes via multiple KH domains, similar to vertebrate vigilins""",0,216,68,78121973.07,81449454.37,81125488.15,81982472.17,83864262.47,83558112.77,91,42
